code	name	description	severity	requires_reset	action
143	GPU_INIT_ERROR	GPU Initialization Error	critical	True	Reset GPU
144	NVLINK_SAW_ERROR	NVLINK: SAW Error	warning	False	Contact support
145	NVLINK_RLW_ERROR	NVLINK: RLW Error	warning	False	Contact support
146	NVLINK_TLW_ERROR	NVLINK: TLW Error	warning	False	Contact support
147	NVLINK_TREX_ERROR	NVLINK: TREX Error	warning	False	Contact support
148	NVLINK_NVLPW_CTRL_ERROR	NVLINK: NVLPW_CTRL Error	warning	False	Contact support
149	NVLINK_NETIR_ERROR	NVLINK: NETIR Error	warning	False	Contact support
150	NVLINK_MSE_ERROR	NVLINK: MSE Error	warning	False	Contact support
151	ROBUST_CHANNEL_KEY_ROTATION_ERROR	Key rotation Error	warning	False	Contact support
154	GPU_RECOVERY_ACTION_CHANGED	GPU Recovery Action Changed	warning	False	Contact support
155	NVLINK_SW_DEFINED_ERROR	NVLINK: SW Defined Error	critical	True	Reset GPU
156	RESOURCE_RETIREMENT_EVENT	Resource Retirement Event	critical	True	Reset GPU
157	RESOURCE_RETIREMENT_FAILURE	Resource Retirement Failure	info	False	No action required
158	GPU_FATAL_TIMEOUT	GPU Fatal Timeout	critical	True	Reset GPU
159	ROBUST_CHANNEL_CHI_NON_DATA_ERROR	CHI Non-Data Error	warning	False	Contact support
160	CHANNEL_RETIREMENT_EVENT	Channel Retirement Event	info	False	No action required
161	CHANNEL_RETIREMENT_FAILURE	Channel Retirement Failure	info	False	No action required
162	PSHC_REENGAGED	Power Smoothing HW Circuitry capability reengaged	warning	False	Contact support
163	PSHC_DISENGAGED	Power Smoothing HW Circuitry capability disengaged	warning	False	Contact support
164	PSHC_LOW_LIFETIME	Power Smoothing HW Circuitry low lifetime reached	warning	False	Contact support
165	PSHC_ZERO_LIFETIME	Power Smoothing HW Circuitry lifetime exhausted	warning	False	Contact support
166	NVLINK_SECURE_CRYPTO_ERR	CC traffic seen prior to link properly being configured for encrypted traffic	warning	False	Contact support
167	PCIE_FATAL_TIMEOUT	PCIE_FATAL_TIMEOUT	warning	False	Contact support
168	REDUCED_GPU_MEMORY_CAPACITY	Errors found in WPR (write protected region)	warning	False	Contact support
169	SEC2_HALT_ERROR	Internal micro-controller halt	warning	False	Contact support
170	NVLINK_SECURE_OTHER	Interrupt seen in CC mode	warning	False	Contact support
171	UNCORRECTABLE_DRAM_ERROR	Additional to Xid 48 providing more details on particulars of fault to differentiate DRAM/SRAM	warning	False	Contact support
172	UNCORRECTABLE_SRAM_ERROR	Additional to Xid 48 providing more details on particulars of fault to differentiate DRAM/SRAM	warning	False	Contact support
